YEAR,PRCP estimate,TMAX,TMIN,TAVG,area_tree_cover_jan1,area_tree_cover_loss_Ha,area_burn_Ha,area_tree_cover_dec31,percentage_tree_cover_loss,percentage_tree_cover_loss_over_logging_land,co2_emission_Mg,cumulative_loss_area,true_area_tree_cover_jan1,true_area_tree_cover_dec31,true_percentage_tree_cover_loss
2001,1203.1,29.0,2.6,15.8,1603821.4981410564,1203.9340391979017,145.38856263476794,1602617.5641018583,0.0007506658568882,0.0007506658568882,514716.8652238636,1349.3226018326695,1603821.0,1602472.1755392237,0.0008413174548984391
2002,1035.135989010989,31.0,2.3,16.65,1602617.5641018583,1298.8412835590968,25.373652624366883,1601318.7228182994,0.0008104499243317,0.0008104499243317,487369.09523820895,1324.2149361834638,1602471.6773981673,1601293.3491656748,0.000826357778961503
2003,1192.4790419161675,33.2,3.4,18.3,1601318.7228182994,796.6348588824475,100.98055757842504,1600522.087959417,0.0004974867573398,0.0004974867573398,332012.24767754925,897.6154164608726,1601147.4624619838,1600421.1074018385,0.000560607587686312
2004,1484.4330601092893,34.7,3.4,19.05,1600522.087959417,10855.552080374817,15065.489647734825,1589666.535879042,0.0067825068844973,0.0067825068844973,2194605.7365627284,25921.04172810964,1600249.8470455229,1574601.0462313073,0.01619812167204179
2005,1418.6916167664674,31.2,5.3,18.25,1589666.535879042,3906.168670958175,33.79267499797487,1585760.367208084,0.0024572251996222,0.0024572251996222,1283370.2582147536,3939.9613459561497,1574328.8053174133,1585726.5745330858,0.0025026292681990165
2006,2056.9483240223462,28.9,4.4,16.65,1585760.367208084,1052.593717132096,0.0,1584707.773490952,0.0006637785499616,0.0006637785499616,439246.32715096266,1052.593717132096,1570388.843971457,1584707.773490952,0.0006702758499418042
2007,3786.482808022922,32.1,5.4,18.75,1584707.773490952,2216.374182463671,0.0,1582491.3993084882,0.0013986011929386,0.0013986011929386,847637.8960649056,2216.374182463671,1569336.250254325,1582491.3993084885,0.0014123003799246258
2008,2979.971671388102,28.1,2.7,15.4,1582491.3993084882,1278.3261295408145,0.0,1581213.0731789474,0.0008077934136636,0.0008077934136636,585087.3934876864,1278.3261295408145,1567119.8760718615,1581213.0731789474,0.0008157168759451021
2009,2725.775139664805,32.0,4.0,18.0,1581213.0731789474,4125.643557017634,5091.424459800009,1577087.4296219298,0.0026091635763694,0.0026091635763694,1211515.0008499809,9217.068016817642,1565841.5499423207,1571996.0051621299,0.005886335061907868
2010,2464.014492753623,33.1,4.1,18.6,1577087.4296219298,3246.653749633663,4683.7972454625615,1573840.7758722962,0.0020586390384279,0.0020586390384279,1066040.757116192,7930.450995096225,1556624.4819255031,1569156.9786268335,0.005094646195777717
2011,3484.750720461096,23.8,4.0,13.9,1573840.7758722962,1382.9676311692688,0.0,1572457.8082411268,0.0008787214388969,0.0008787214388969,473075.6545751332,1382.9676311692688,1548694.0309304069,1572457.8082411268,0.0008929895793156929
2012,2999.3614285714275,28.3,2.6,15.45,1572457.8082411268,1516.2917461850966,25.2569387310008,1570941.5164949417,0.0009642813551106,0.0009642813551106,694571.8093999615,1541.5486849160975,1547311.0632992375,1570916.2595562108,0.0009962758759244873
2013,2918.9630681818144,28.3,4.4,16.35,1570941.5164949417,1094.5694362393288,16.98460133901284,1569846.9470587024,0.0006967601433575,0.0006967601433575,525580.884131249,1111.5540375783416,1545769.5146143215,1569829.9624573633,0.0007190942938576977
2014,1715.9281524926676,27.1,3.2,15.15,1569846.9470587024,1890.9145044653003,519.6536286914068,1567956.032554237,0.0012045215669006,0.0012045215669006,948641.300889524,2410.568133156707,1544657.9605767431,1567436.3789255456,0.0015605837633184832
2015,3071.5055865921804,31.8,4.5,18.15,1567956.032554237,1589.9890751764328,85.6589650510953,1566366.0434790603,0.0010140520793725,0.0010140520793725,893749.9466667854,1675.648040227528,1542247.3924435864,1566280.3845140093,0.0010864975674055623
2016,2785.651129943501,29.9,3.7,16.8,1566366.0434790603,1762.5631403988089,0.0,1564603.4803386617,0.001125256224582,0.0075017081638804,1023857.6742907774,1762.5631403988089,1540571.7444033588,1564603.4803386615,0.0011440967594024153
2017,2991.9660056657226,32.9,4.0,18.45,1564603.4803386617,4856.270232676385,5197.15712296636,1559747.2101059854,0.0031038344818364,0.0206689458184376,1802045.0529284256,10053.427355642743,1538809.18126296,1554550.052983019,0.006533251476568074
2018,2590.643695014664,30.7,3.2,16.95,1559747.2101059854,2982.6604639569496,5298.878807291431,1556764.5496420283,0.0019122717095639,0.0126946081191092,1329492.4076318787,8281.53927124838,1528755.7539073173,1551465.6708347371,0.005417176190560038
2019,2512.5726495726485,25.2,4.1,14.65,1556764.5496420283,4788.441509644154,0.0,1551976.1081323845,0.0030758932111764,0.0203802575589059,1708142.3688450863,4788.441509644154,1520474.214636069,1551976.108132384,0.003149307935347187
2020,4534.975409836064,19.2,6.9,13.05,1551976.1081323845,1006.7734603794554,42.89488883632247,1550969.334672005,0.0006487042262467,0.0042849646142026,560021.8860310001,1049.6683492157779,1515685.7731264248,1550926.4397831687,0.0006925369148584231
