"iso","adm1","adm2","alert__year","alert__week","burn_area__ha"
"CAN",2,5,2001,28,16.945200902452378
"CAN",2,5,2001,29,33.610306238689425
"CAN",2,5,2001,32,8.622875134103715
"CAN",2,5,2001,33,60.34527783582016
"CAN",2,5,2001,34,25.864902523702261
"CAN",2,5,2002,23,25.373652624366883
"CAN",2,5,2003,24,16.547329921574033
"CAN",2,5,2003,25,16.547329921574033
"CAN",2,5,2003,39,67.88589773527697
"CAN",2,5,2004,25,25.328513673610395
"CAN",2,5,2004,26,532.54958212872836
"CAN",2,5,2004,27,261.951291648132245
"CAN",2,5,2004,28,16.870616630084008
"CAN",2,5,2004,29,25.37553229858957
"CAN",2,5,2004,30,1173.986500594895510
"CAN",2,5,2004,31,11481.482569430014285
"CAN",2,5,2004,32,616.937790026040565
"CAN",2,5,2004,33,592.239800719747327
"CAN",2,5,2004,34,186.63082266906302
"CAN",2,5,2004,35,143.6856378108442
"CAN",2,5,2004,36,8.450990105072966
"CAN",2,5,2005,23,16.896964532962322
"CAN",2,5,2005,24,16.895710465012545
"CAN",2,5,2009,23,25.366133033730545
"CAN",2,5,2009,31,2182.64858320978915
"CAN",2,5,2009,32,1912.71461590013627
"CAN",2,5,2009,33,337.327217477399843
"CAN",2,5,2009,34,50.55265137679073
"CAN",2,5,2009,35,446.796551748697065
"CAN",2,5,2009,36,76.06239716724497
"CAN",2,5,2009,37,25.44501745284363
"CAN",2,5,2009,41,34.51129243337595
"CAN",2,5,2010,22,41.907998012770186
"CAN",2,5,2010,27,110.6808958080988
"CAN",2,5,2010,28,34.057244004785346
"CAN",2,5,2010,32,233.49833255805964
"CAN",2,5,2010,33,3295.871443869006508
"CAN",2,5,2010,34,617.2592442689963
"CAN",2,5,2010,35,300.45246494689985
"CAN",2,5,2010,38,50.069621993945844
"CAN",2,5,2012,39,25.2569387310008
"CAN",2,5,2013,42,16.98460133901284
"CAN",2,5,2014,38,149.846868799231618
"CAN",2,5,2014,39,369.806759892175121
"CAN",2,5,2015,38,85.658965051095296
"CAN",2,5,2017,22,25.41498483455692
"CAN",2,5,2017,27,92.56729402595916
"CAN",2,5,2017,28,630.9841050976455
"CAN",2,5,2017,29,504.7062800699636
"CAN",2,5,2017,30,16.822872959053665
"CAN",2,5,2017,31,1648.058562785926325
"CAN",2,5,2017,32,1883.388773448390559
"CAN",2,5,2017,33,395.21424974486407
"CAN",2,5,2018,33,516.64962480850177
"CAN",2,5,2018,34,2612.79195019670904
"CAN",2,5,2018,35,1512.534328528080460
"CAN",2,5,2018,36,623.0162601731381
"CAN",2,5,2018,37,8.4791704816917
"CAN",2,5,2018,39,25.407473103310622
"CAN",2,5,2020,31,25.760734621772743
"CAN",2,5,2020,33,17.13415421454972
